GeoType,CDTAType,GeogName,GeoID,Borough,Pop16plE,Pop16plM,Pop16plC,Pop16plP,Pop16plZ,MdHHIncE,MdHHIncM,MdHHIncC,MnHHIncE,MnHHIncM,MnHHIncC,MdFamIncE,MdFamIncM,MdFamIncC,Nfam2E,Nfam2M,Nfam2C,Nfam2P,Nfam2Z,MdNFIncE,MdNFIncM,MdNFIncC,PerCapIncE,PerCapIncM,PerCapIncC,FamPvUE,FamPvUM,FamPvUC,FamPvUP,FamPvUZ,FamBwPvE,FamBwPvM,FamBwPvC,FamBwPvP,FamBwPvZ,PopPvU1E,PopPvU1M,PopPvU1C,PopPvU1P,PopPvU1Z,PBwPvE,PBwPvM,PBwPvC,PBwPvP,PBwPvZ,PU18PvUE,PU18PvUM,PU18PvUC,PU18PvUP,PU18PvUZ,PU18BwPvE,PU18BwPvM,PU18BwPvC,PU18BwPvP,PU18BwPvZ,P65plPvUE,P65plPvUM,P65plPvUC,P65plPvUP,P65plPvUZ,P65plBwPvE,P65plBwPvM,P65plBwPvC,P65plBwPvP,P65plBwPvZ,PopPvU2E,PopPvU2M,PopPvU2C,PopPvU2P,PopPvU2Z,PvU50E,PvU50M,PvU50C,PvU50P,PvU50Z,Pv50t74E,Pv50t74M,Pv50t74C,Pv50t74P,Pv50t74Z,Pv75t99E,Pv75t99M,Pv75t99C,Pv75t99P,Pv75t99Z,Pv100t124E,Pv100t124M,Pv100t124C,Pv100t124P,Pv100t124Z,Pv125t149E,Pv125t149M,Pv125t149C,Pv125t149P,Pv125t149Z,Pv150t174E,Pv150t174M,Pv150t174C,Pv150t174P,Pv150t174Z,Pv175t184E,Pv175t184M,Pv175t184C,Pv175t184P,Pv175t184Z,Pv185t199E,Pv185t199M,Pv185t199C,Pv185t199P,Pv185t199Z,Pv200t299E,Pv200t299M,Pv200t299C,Pv200t299P,Pv200t299Z,Pv300t399E,Pv300t399M,Pv300t399C,Pv300t399P,Pv300t399Z,Pv400t499E,Pv400t499M,Pv400t499C,Pv400t499P,Pv400t499Z,Pv500plE,Pv500plM,Pv500plC,Pv500plP,Pv500plZ,,
CDTA2020,CD,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),311,Brooklyn,"146,108","3,456",1.4,100.0,0.0,"68,756","2,886",2.6,"94,975","4,484",2.9,"77,070","4,233",3.3,"17,677",939,3.2,100.0,0.0,"40,462","4,697",7.1,"32,270","1,520",2.9,"45,373","1,431",1.9,100.0,0.0,"6,301",711,6.9,13.9,1.5,"181,651","4,574",1.5,100.0,0.0,"33,122","2,649",4.9,18.2,1.4,"40,313","2,174",3.3,100.0,0.0,"9,943","1,432",8.8,24.7,3.3,"30,964","1,506",3.0,100.0,0.0,"6,541",759,7.0,21.1,2.2,"181,651","4,574",1.5,100.0,0.0,"12,730","1,253",6.0,7.0,0.7,"7,840",852,6.6,4.3,0.5,"12,552","1,067",5.2,6.9,0.6,"11,689","1,017",5.3,6.4,0.5,"11,064","1,143",6.3,6.1,0.6,"8,107",828,6.2,4.5,0.4,"4,327",750,10.5,2.4,0.4,"5,123",624,7.4,2.8,0.3,"29,616","1,567",3.2,16.3,0.8,"21,320","1,304",3.7,11.7,0.7,"15,242","1,119",4.5,8.4,0.6,"42,041","1,808",2.6,23.1,0.8,,
CDTA2020,CD,BK12 Borough Park-Kensington (CD 12 Approximation),312,Brooklyn,"130,564","3,575",1.7,100.0,0.0,"67,808","3,090",2.8,"99,771","5,092",3.1,"71,535","3,663",3.1,"14,357",908,3.8,100.0,0.0,"48,122","7,252",9.2,"28,349","1,545",3.3,"41,010","1,260",1.9,100.0,0.0,"7,866",693,5.4,19.2,1.6,"192,953","5,707",1.8,100.0,0.0,"47,291","3,764",4.8,24.5,1.8,"70,492","3,603",3.1,100.0,0.0,"21,836","2,400",6.7,31.0,3.0,"23,126","1,335",3.5,100.0,0.0,"4,811",716,9.0,20.8,2.9,"192,953","5,707",1.8,100.0,0.0,"16,300","1,310",4.9,8.4,0.6,"12,554","1,301",6.3,6.5,0.6,"18,437","1,555",5.1,9.6,0.8,"14,604","1,405",5.8,7.6,0.7,"12,105","1,156",5.8,6.3,0.6,"12,813","1,248",5.9,6.6,0.6,"3,324",548,10.0,1.7,0.3,"5,570",801,8.7,2.9,0.4,"30,415","1,931",3.9,15.8,0.9,"19,122","1,429",4.5,9.9,0.7,"14,230","1,323",5.7,7.4,0.6,"33,479","1,680",3.1,17.4,0.7,,
CDTA2020,CD,BK13 Coney Island-Brighton Beach (CD 13 Approximation),313,Brooklyn,"90,002","2,999",2.0,100.0,0.0,"45,489","2,762",3.7,"74,948","4,800",3.9,"63,728","5,097",4.9,"17,876","1,035",3.5,100.0,0.0,"19,991","2,439",7.4,"31,261","2,060",4.0,"28,191","1,288",2.8,100.0,0.0,"4,948",609,7.5,17.6,2.0,"108,518","4,070",2.3,100.0,0.0,"26,362","2,709",6.2,24.3,2.3,"22,426","2,037",5.5,100.0,0.0,"6,983","1,536",13.4,31.1,6.2,"28,122","1,430",3.1,100.0,0.0,"8,523",900,6.4,30.3,2.8,"108,518","4,070",2.3,100.0,0.0,"7,890",963,7.4,7.3,0.8,"6,895",924,8.2,6.4,0.8,"11,577","1,361",7.1,10.7,1.2,"6,917","1,059",9.3,6.4,0.9,"8,246","1,026",7.6,7.6,0.9,"6,602",937,8.6,6.1,0.8,"1,992",437,13.3,1.8,0.4,"2,910",552,11.5,2.7,0.5,"14,590","1,238",5.2,13.4,1.0,"10,466","1,069",6.2,9.6,0.9,"7,750","1,058",8.3,7.1,0.9,"22,683","1,600",4.3,20.9,1.2,,
CDTA2020,CD,BK14 Flatbush-Midwood (CD 14 Approximation),314,Brooklyn,"127,016","3,573",1.7,100.0,0.0,"80,062","3,633",2.8,"115,724","11,444",6.0,"97,163","4,775",3.0,"23,553","1,085",2.8,100.0,0.0,"55,972","6,623",7.2,"44,138","4,356",6.0,"37,034","1,381",2.3,100.0,0.0,"4,347",514,7.2,11.7,1.3,"158,646","4,679",1.8,100.0,0.0,"25,038","2,156",5.2,15.8,1.3,"35,862","2,232",3.8,100.0,0.0,"6,449","1,124",10.6,18.0,2.9,"24,790","1,260",3.1,100.0,0.0,"4,639",533,7.0,18.7,1.9,"158,646","4,679",1.8,100.0,0.0,"9,993","1,022",6.2,6.3,0.6,"5,946",739,7.6,3.7,0.5,"9,099",893,6.0,5.7,0.5,"6,791",893,8.0,4.3,0.5,"6,662",810,7.4,4.2,0.5,"7,167",968,8.2,4.5,0.6,"2,788",502,10.9,1.8,0.3,"4,676",743,9.7,2.9,0.5,"23,718","1,634",4.2,15.0,0.9,"19,748","1,455",4.5,12.4,0.8,"15,558","1,354",5.3,9.8,0.8,"46,500","2,088",2.7,29.3,1.0,,
CDTA2020,CD,BK15 Sheepshead Bay-Gravesend (East) (CD 15 Approximation),315,Brooklyn,"124,415","3,012",1.5,100.0,0.0,"74,164","3,582",2.9,"106,932","4,741",2.7,"92,599","4,221",2.8,"19,362",970,3.0,100.0,0.0,"40,686","3,472",5.2,"40,634","1,870",2.8,"40,166","1,242",1.9,100.0,0.0,"4,868",509,6.4,12.1,1.2,"155,257","3,977",1.6,100.0,0.0,"24,224","1,987",5.0,15.6,1.2,"35,173","1,944",3.4,100.0,0.0,"6,001",923,9.4,17.1,2.4,"31,035","1,282",2.5,100.0,0.0,"6,404",678,6.4,20.6,2.0,"155,257","3,977",1.6,100.0,0.0,"10,842","1,016",5.7,7.0,0.6,"5,584",683,7.4,3.6,0.4,"7,798",784,6.1,5.0,0.5,"7,364",784,6.5,4.7,0.5,"6,843",745,6.6,4.4,0.5,"6,884",753,6.7,4.4,0.5,"2,800",562,12.2,1.8,0.4,"2,860",515,11.0,1.8,0.3,"23,339","1,468",3.8,15.0,0.9,"17,851","1,361",4.6,11.5,0.8,"14,738","1,108",4.6,9.5,0.7,"48,354","2,046",2.6,31.1,1.0,,
CDTA2020,CD,BK16 Ocean Hill-Brownsville (CD 16 Approximation),316,Brooklyn,"76,107","2,806",2.2,100.0,0.0,"42,086","3,339",4.8,"64,676","4,667",4.4,"51,373","3,937",4.7,"15,763","1,104",4.3,100.0,0.0,"25,269","4,192",10.1,"25,073","1,849",4.5,"21,052","1,155",3.3,100.0,0.0,"5,635",735,7.9,26.8,3.2,"96,626","3,730",2.3,100.0,0.0,"31,640","2,646",5.1,32.7,2.4,"22,679","1,943",5.2,100.0,0.0,"9,203","1,486",9.8,40.6,5.6,"11,918","1,055",5.4,100.0,0.0,"3,464",602,10.6,29.1,4.4,"96,626","3,730",2.3,100.0,0.0,"19,168","1,602",5.1,19.8,1.5,"6,002","1,006",10.2,6.2,1.0,"6,470",887,8.3,6.7,0.9,"5,981",829,8.4,6.2,0.8,"4,731",798,10.3,4.9,0.8,"5,474",935,10.4,5.7,0.9,"1,062",349,20.0,1.1,0.4,"3,062",607,12.1,3.2,0.6,"15,228","1,475",5.9,15.8,1.4,"9,584","1,199",7.6,9.9,1.2,"6,285",894,8.6,6.5,0.9,"13,579","1,393",6.2,14.1,1.3,,
CDTA2020,CD,BK17 East Flatbush (CD 17 Approximation),317,Brooklyn,"129,516","3,564",1.7,100.0,0.0,"68,394","2,970",2.6,"93,152","4,457",2.9,"82,758","4,151",3.0,"21,264","1,192",3.4,100.0,0.0,"43,348","4,658",6.5,"35,911","1,814",3.1,"38,737","1,449",2.3,100.0,0.0,"4,988",768,9.4,12.9,1.9,"155,047","4,775",1.9,100.0,0.0,"25,167","2,613",6.3,16.2,1.6,"29,774","2,250",4.6,100.0,0.0,"6,898","1,386",12.2,23.2,4.3,"27,097","1,262",2.8,100.0,0.0,"4,234",605,8.7,15.6,2.1,"155,047","4,775",1.9,100.0,0.0,"11,159","1,178",6.4,7.2,0.7,"6,562",951,8.8,4.2,0.6,"7,446",859,7.0,4.8,0.5,"5,492",884,9.8,3.5,0.6,"6,858",965,8.6,4.4,0.6,"6,296",835,8.1,4.1,0.5,"3,475",686,12.0,2.2,0.4,"4,560",733,9.8,2.9,0.5,"24,775","1,705",4.2,16.0,1.0,"21,355","1,428",4.1,13.8,0.8,"18,020","1,399",4.7,11.6,0.8,"39,049","1,856",2.9,25.2,0.9,,
CDTA2020,CD,BK18 Canarsie-Flatlands (CD 18 Approximation),318,Brooklyn,"156,715","3,462",1.3,100.0,0.0,"86,729","3,320",2.3,"116,191","4,812",2.5,"101,509","4,287",2.6,"18,706",971,3.2,100.0,0.0,"48,400","4,787",6.0,"41,829","1,838",2.7,"49,703","1,318",1.6,100.0,0.0,"5,019",620,7.5,10.1,1.2,"191,560","4,489",1.4,100.0,0.0,"22,408","2,079",5.6,11.7,1.1,"40,811","2,140",3.2,100.0,0.0,"7,008","1,200",10.4,17.2,2.8,"36,717","1,532",2.5,100.0,0.0,"4,268",570,8.1,11.6,1.5,"191,560","4,489",1.4,100.0,0.0,"11,432","1,001",5.3,6.0,0.5,"4,991",631,7.7,2.6,0.3,"5,985",862,8.8,3.1,0.4,"7,329",832,6.9,3.8,0.4,"6,261",777,7.5,3.3,0.4,"6,277",725,7.0,3.3,0.4,"3,064",533,10.6,1.6,0.3,"3,527",512,8.8,1.8,0.3,"27,239","1,542",3.4,14.2,0.7,"26,374","1,413",3.3,13.8,0.7,"22,997","1,347",3.6,12.0,0.6,"66,084","2,202",2.0,34.5,0.8,,
CDTA2020,JIA,BK55 Prospect Park (JIA 55 Approximation),355,Brooklyn,0,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,
CDTA2020,JIA,BK56 Jamaica Bay (West) (JIA 56 Approximation),356,Brooklyn,13,19,88.8,100.0,0.0,"137,498",,,,,,"137,498",,,0,,,,,,,,,,,9,12,81.1,100.0,0.0,0,,,,,13,19,88.8,100.0,0.0,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,13,19,88.8,100.0,0.0,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,13,14,65.0,100.0,181.1,,
