"TimePeriod","GeoTypeDesc","GeoID","GeoRank","BoroID","Borough","Geography","Area","Percent"
"2017","UHF 42","101","4","1","Bronx","Kingsbridge - Riverdale","Kingsbridge - Riverdale  Bronx","63.0"
"2017","UHF 42","503","4","5","Staten Island","Willowbrook","Willowbrook  Staten Island","61.0"
"2017","UHF 42","504","4","5","Staten Island","South Beach - Tottenville","South Beach - Tottenville  Staten Island","59.0"
"2017","UHF 42","404","4","4","Queens","Bayside - Little Neck","Bayside - Little Neck  Queens","55.0"
"2017","UHF 42","502","4","5","Staten Island","Stapleton - St. George","Stapleton - St. George  Staten Island","51.0"
"2017","UHF 42","104","4","1","Bronx","Pelham - Throgs Neck","Pelham - Throgs Neck  Bronx","46.0"
"2017","UHF 42","406","4","4","Queens","Fresh Meadows","Fresh Meadows  Queens","46.0"
"2017","UHF 42","405","4","4","Queens","Ridgewood - Forest Hills","Ridgewood - Forest Hills  Queens","45.0"
"2017","UHF 42","409","4","4","Queens","Southeast Queens","Southeast Queens  Queens","44.0"
"2017","UHF 42","208","4","2","Brooklyn","Canarsie - Flatlands","Canarsie - Flatlands  Brooklyn","41.0"
"2017","UHF 42","501","4","5","Staten Island","Port Richmond","Port Richmond  Staten Island","41.0"
"2017","UHF 42","103","4","1","Bronx","Fordham - Bronx Pk","Fordham - Bronx Pk  Bronx","40.0"
"2017","UHF 42","403","4","4","Queens","Flushing - Clearview","Flushing - Clearview  Queens","38.0"
"2017","UHF 42","410","4","4","Queens","Rockaways","Rockaways  Queens","37.0"
"2017","UHF 42","102","4","1","Bronx","Northeast Bronx","Northeast Bronx  Bronx","36.0"
"2017","UHF 42","301","4","3","Manhattan","Washington Heights","Washington Heights  Manhattan","35.0"
"2017","UHF 42","408","4","4","Queens","Jamaica","Jamaica  Queens","35.0"
"2017","UHF 42","105","4","1","Bronx","Crotona - Tremont","Crotona - Tremont  Bronx","32.0"
"2017","UHF 42","303","4","3","Manhattan","East Harlem","East Harlem  Manhattan","31.0"
"2017","UHF 42","207","4","2","Brooklyn","East Flatbush - Flatbush","East Flatbush - Flatbush  Brooklyn","30.0"
"2017","UHF 42","204","4","2","Brooklyn","East New York","East New York  Brooklyn","29.0"
"2017","UHF 42","205","4","2","Brooklyn","Sunset Park","Sunset Park  Brooklyn","29.0"
"2017","UHF 42","302","4","3","Manhattan","Central Harlem - Morningside Heights","Central Harlem - Morningside Heights  Manhattan","29.0"
"2017","UHF 42","304","4","3","Manhattan","Upper West Side","Upper West Side  Manhattan","29.0"
"2017","UHF 42","407","4","4","Queens","Southwest Queens","Southwest Queens  Queens","29.0"
"2017","UHF 42","209","4","2","Brooklyn","Bensonhurst - Bay Ridge","Bensonhurst - Bay Ridge  Brooklyn","28.0"
"2017","UHF 42","203","4","2","Brooklyn","Bedford Stuyvesant - Crown Heights","Bedford Stuyvesant - Crown Heights  Brooklyn","25.0"
"2017","UHF 42","309","4","3","Manhattan","Union Square - Lower East Side","Union Square - Lower East Side  Manhattan","25.0"
"2017","UHF 42","206","4","2","Brooklyn","Borough Park","Borough Park  Brooklyn","24.0"
"2017","UHF 42","310","4","3","Manhattan","Lower Manhattan","Lower Manhattan  Manhattan","24.0"
"2017","UHF 42","402","4","4","Queens","West Queens","West Queens  Queens","24.0"
"2017","UHF 42","210","4","2","Brooklyn","Coney Island - Sheepshead Bay","Coney Island - Sheepshead Bay  Brooklyn","23.0"
"2017","UHF 42","202","4","2","Brooklyn","Downtown - Heights - Slope","Downtown - Heights - Slope  Brooklyn","22.0"
"2017","UHF 42","305","4","3","Manhattan","Upper East Side","Upper East Side  Manhattan","22.0"
"2017","UHF 42","106","4","1","Bronx","High Bridge - Morrisania","High Bridge - Morrisania  Bronx","21.0"
"2017","UHF 42","107","4","1","Bronx","Hunts Point - Mott Haven","Hunts Point - Mott Haven  Bronx","18.0"
"2017","UHF 42","211","4","2","Brooklyn","Williamsburg - Bushwick","Williamsburg - Bushwick  Brooklyn","18.0"
"2017","UHF 42","401","4","4","Queens","Long Island City - Astoria","Long Island City - Astoria  Queens","18.0"
"2017","UHF 42","201","4","2","Brooklyn","Greenpoint","Greenpoint  Brooklyn","14.0"
"2017","UHF 42","307","4","3","Manhattan","Gramercy Park - Murray Hill","Gramercy Park - Murray Hill  Manhattan","13.0"
