GeoType,CDTAType,GeogName,GeoID,Borough,Pop_1E,Pop_1M,Pop_1C,Pop_1P,Pop_1Z,MaleE,MaleM,MaleC,MaleP,MaleZ,FemE,FemM,FemC,FemP,FemZ,PopU181E,PopU181M,PopU181C,PopU181P,PopU181Z,Pop65pl1E,Pop65pl1M,Pop65pl1C,Pop65pl1P,Pop65pl1Z,MdAgeE,MdAgeM,MdAgeC,Pop_2E,Pop_2M,Pop_2C,Pop_2P,Pop_2Z,Hsp1E,Hsp1M,Hsp1C,Hsp1P,Hsp1Z,NHspE,NHspM,NHspC,NHspP,NHspZ,WtNHE,WtNHM,WtNHC,WtNHP,WtNHZ,BlNHE,BlNHM,BlNHC,BlNHP,BlNHZ,AIANNHE,AIANNHM,AIANNHC,AIANNHP,AIANNHZ,AsnNHE,AsnNHM,AsnNHC,AsnNHP,AsnNHZ,NHPINHE,NHPINHM,NHPINHC,NHPINHP,NHPINHZ,OthNHE,OthNHM,OthNHC,OthNHP,OthNHZ,Rc2plNHE,Rc2plNHM,Rc2plNHC,Rc2plNHP,Rc2plNHZ
CDTA2020,CD,BK01 Williamsburg-Greenpoint (CD 1 Equivalent),301,Brooklyn,"166,194","3,251",1.2,100,0,"80,847","2,180",1.6,48.6,0.9,"85,347","2,009",1.4,51.4,0.7,"42,840","1,725",2.4,25.8,0.9,"14,278",722,3.1,8.6,0.4,29.5,0.3,0.6,"166,194","3,251",1.2,100,0,"48,778","2,333",2.9,29.4,1.3,"117,416","2,976",1.5,70.6,1.1,"98,587","2,691",1.7,59.3,1.1,"8,079","1,096",8.2,4.9,0.7,390,204,31.7,0.2,0.1,"8,672","1,079",7.6,5.2,0.6,72,88,74.4,0.0,0.1,348,168,29.3,0.2,0.1,"1,268",270,13.0,0.8,0.2
CDTA2020,CD,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),302,Brooklyn,"96,717","2,573",1.6,100,0,"45,467","1,619",2.2,47.0,1.1,"51,251","1,532",1.8,53.0,0.7,"15,090","1,008",4.1,15.6,1.0,"9,715",632,4.0,10.0,0.6,34.8,0.5,0.8,"96,717","2,573",1.6,100,0,"14,157","1,201",5.2,14.6,1.2,"82,560","2,482",1.8,85.4,1.2,"43,262","1,713",2.4,44.7,1.3,"27,938","1,625",3.5,28.9,1.5,99,62,37.8,0.1,0.1,"7,498",869,7.0,7.8,0.9,10,16,97.3,0.0,0.0,400,179,27.3,0.4,0.2,"3,354",591,10.7,3.5,0.6
CDTA2020,CD,BK03 Bedford-Stuyvesant (CD 3 Approximation),303,Brooklyn,"145,961","3,225",1.3,100,0,"65,876","1,953",1.8,45.1,0.9,"80,085","2,134",1.6,54.9,0.8,"39,293","1,657",2.6,26.9,1.0,"14,304",989,4.2,9.8,0.6,31.5,0.6,1.1,"145,961","3,225",1.3,100,0,"26,495","1,826",4.2,18.2,1.2,"119,466","3,181",1.6,81.8,1.2,"13,298","1,248",5.7,9.1,0.8,"99,375","3,005",1.8,68.1,1.4,309,146,28.8,0.2,0.1,"4,297",866,12.2,2.9,0.6,32,47,89.3,0.0,0.0,899,334,22.6,0.6,0.2,"1,256",286,13.9,0.9,0.2
CDTA2020,CD,BK04 Bushwick (CD 4 Equivalent),304,Brooklyn,"112,013","2,940",1.6,100,0,"55,545","1,932",2.1,49.6,1.1,"56,468","1,795",1.9,50.4,0.9,"30,682","1,454",2.9,27.4,1.1,"7,938",571,4.4,7.1,0.5,29.2,0.5,1.0,"112,013","2,940",1.6,100,0,"77,436","2,897",2.3,69.1,1.8,"34,577","1,856",3.3,30.9,1.4,"7,146",794,6.8,6.4,0.7,"21,794","1,582",4.4,19.5,1.3,252,187,45.2,0.2,0.2,"4,116",675,10.0,3.7,0.6,0,,,,,537,245,27.8,0.5,0.2,732,267,22.2,0.7,0.2
CDTA2020,CD,BK05 East New York-Cypress Hills (CD 5 Approximation),305,Brooklyn,"182,307","3,606",1.2,100,0,"82,458","2,237",1.6,45.2,0.8,"99,849","2,257",1.4,54.8,0.6,"53,935","1,843",2.1,29.6,0.8,"16,215",800,3.0,8.9,0.4,31.2,0.6,1.1,"182,307","3,606",1.2,100,0,"68,100","3,006",2.7,37.4,1.5,"114,207","3,269",1.7,62.6,1.3,"7,715",823,6.5,4.2,0.4,"95,229","3,014",1.9,52.2,1.3,240,142,35.9,0.1,0.1,"6,978","1,097",9.6,3.8,0.6,112,179,97.2,0.1,0.1,"2,458",668,16.5,1.3,0.4,"1,475",422,17.4,0.8,0.2
CDTA2020,CD,BK06 Park Slope-Carroll Gardens (CD 6 Approximation),306,Brooklyn,"113,118","2,711",1.5,100,0,"53,780","1,919",2.2,47.5,1.3,"59,337","1,539",1.6,52.5,0.5,"21,306","1,099",3.1,18.8,0.9,"9,869",952,5.9,8.7,0.8,35.2,0.5,0.8,"113,118","2,711",1.5,100,0,"22,231","1,653",4.5,19.7,1.4,"90,887","2,410",1.6,80.3,0.9,"68,020","1,971",1.8,60.1,1.0,"12,668","1,109",5.3,11.2,0.9,363,223,37.3,0.3,0.2,"6,925",822,7.2,6.1,0.7,0,,,,,519,263,30.8,0.5,0.2,"2,391",472,12.0,2.1,0.4
CDTA2020,CD,BK07 Sunset Park-Windsor Terrace (CD 7 Approximation),307,Brooklyn,"128,413","2,899",1.4,100,0,"65,524","1,867",1.7,51.0,0.9,"62,888","1,725",1.7,49.0,0.8,"29,502","1,324",2.7,23.0,0.9,"11,671","1,265",6.6,9.1,1.0,32.7,0.5,0.9,"128,413","2,899",1.4,100,0,"59,390","2,426",2.5,46.2,1.6,"69,023","2,399",2.1,53.8,1.4,"32,022","1,607",3.1,24.9,1.1,"4,078",654,9.8,3.2,0.5,187,131,42.4,0.1,0.1,"30,646","1,883",3.7,23.9,1.4,24,55,142.8,0.0,0.0,669,288,26.2,0.5,0.2,"1,396",341,14.9,1.1,0.3
CDTA2020,CD,BK08 Crown Heights (North) (CD 8 Approximation),308,Brooklyn,"95,656","2,425",1.5,100,0,"42,082","1,609",2.3,44.0,1.3,"53,574","1,637",1.9,56.0,1.0,"21,156","1,250",3.6,22.1,1.2,"9,564",592,3.8,10.0,0.6,33.6,0.6,1.1,"95,656","2,425",1.5,100,0,"10,778","1,200",6.8,11.3,1.2,"84,878","2,445",1.8,88.7,1.2,"16,182","1,158",4.4,16.9,1.1,"63,444","2,321",2.2,66.3,1.7,162,132,49.5,0.2,0.1,"2,882",591,12.5,3.0,0.6,0,,,,,490,231,28.7,0.5,0.2,"1,718",364,12.9,1.8,0.4
CDTA2020,CD,BK09 Crown Heights (South) (CD 9 Approximation),309,Brooklyn,"96,725","2,426",1.5,100,0,"43,566","1,566",2.2,45.0,1.2,"53,159","1,576",1.8,55.0,0.9,"22,532","1,238",3.3,23.3,1.1,"10,441",594,3.5,10.8,0.6,34.4,0.8,1.5,"96,725","2,426",1.5,100,0,"7,509","1,022",8.3,7.8,1.0,"89,216","2,479",1.7,92.2,1.1,"16,884","1,489",5.4,17.5,1.5,"69,455","2,251",2.0,71.8,1.5,86,65,45.6,0.1,0.1,"1,437",488,20.6,1.5,0.5,0,,,,,529,214,24.6,0.5,0.2,824,226,16.7,0.9,0.2
CDTA2020,CD,BK10 Bay Ridge-Dyker Heights (CD 10 Approximation),310,Brooklyn,"125,290","2,541",1.2,100,0,"61,082","1,606",1.6,48.8,0.8,"64,208","1,587",1.5,51.2,0.7,"24,314","1,210",3.0,19.4,0.9,"19,183",930,2.9,15.3,0.7,38.9,0.7,1.0,"125,290","2,541",1.2,100,0,"17,272","1,568",5.5,13.8,1.2,"108,018","2,566",1.4,86.2,1.1,"77,425","2,122",1.7,61.8,1.1,"1,338",347,15.8,1.1,0.3,235,158,41.0,0.2,0.1,"27,085","2,015",4.5,21.6,1.5,143,159,67.7,0.1,0.1,299,177,35.9,0.2,0.1,"1,493",442,18.0,1.2,0.4
